Wall time,Step,Value
1653817326.1149092,105,-1.9575755596160889
1653817978.0353663,206,-2.3817005157470703
1653818057.7872653,218,-2.427812337875366
1653818363.8017461,266,-2.3935158252716064
1653818770.7582114,329,-2.4616599082946777
1653818850.0787294,341,-2.511659860610962
1653819381.9259834,422,-2.543156147003174
1653821018.7503707,673,-2.4696578979492188
1653821101.6247013,686,-2.5009424686431885
1653821339.6201928,722,-2.5575857162475586
1653821773.9547973,789,-2.548478841781616
1653823029.262127,982,-2.2778847217559814
1653823161.885273,1002,-2.4962234497070312
1653823725.8255525,1088,-2.54636287689209
1653823861.8516567,1109,-2.4991817474365234
1653824047.2932432,1137,-2.45593523979187
1653824206.45361,1161,-2.5059351921081543
1653825162.3577225,1309,-2.4338550567626953
1653825215.4328415,1317,-2.4338550567626953
1653825434.6986678,1351,-2.426748275756836
1653826232.029442,1475,-2.4290685653686523
1653826782.9143543,1561,-2.423290252685547
1653828259.0606253,1790,-2.5125935077667236
1653828285.575588,1794,-2.472593307495117
1653828830.5889752,1878,-2.423274040222168
1653828913.5949829,1891,-2.4631083011627197
1653829324.7723286,1955,-2.4462554454803467
1653829404.4819267,1967,-2.43070912361145
1653829431.1218626,1971,-2.43070912361145
1653829703.0166667,2013,-2.413839340209961
1653830234.2506776,2097,-2.4643707275390625
1653831397.6121297,2276,-2.4857287406921387
1653832131.3115559,2389,-2.4949939250946045
1653832572.7728302,2458,-2.484830141067505
1653832765.4378543,2488,-2.4510247707366943
1653832791.9778016,2492,-2.4380252361297607
1653833681.4568236,2628,-2.3988208770751953
1653834063.778353,2687,-2.4889209270477295
1653834282.8029954,2721,-2.511492967605591
1653834336.054896,2729,-2.551492929458618
1653834415.6745913,2741,-2.538839817047119
1653834468.6378016,2749,-2.498839855194092
1653834796.7344112,2800,-2.550358295440674
1653835065.135509,2841,-2.520409345626831
1653836256.734154,3028,-2.4844624996185303
1653836487.1669137,3065,-2.404876470565796
1653836709.9457824,3100,-2.353537082672119
1653837303.2743962,3191,-2.363567590713501
1653837409.094142,3207,-2.485884428024292
1653837650.7513857,3244,-2.5329782962799072
1653837760.3892179,3261,-2.576157808303833
1653837813.3608725,3269,-2.5561578273773193
1653838187.638513,3326,-2.5194151401519775
1653838244.00938,3335,-2.5325241088867188
1653838383.3872037,3357,-2.3632588386535645
1653838436.344114,3365,-2.350079298019409
1653838648.476376,3397,-2.370079517364502
1653838807.6868072,3421,-2.396822214126587
1653838834.1890588,3425,-2.396822214126587
1653839451.295886,3519,-2.545867681503296
1653839560.846617,3536,-2.5390923023223877
1653841490.405986,3833,-2.427701473236084
1653841543.3796341,3841,-2.470931053161621
1653842436.2187665,3978,-2.526224374771118
1653842515.7677672,3990,-2.526224374771118
1653842987.6179228,4064,-2.4774179458618164
1653843229.582947,4101,-2.5372400283813477
1653843259.5039058,4106,-2.4788894653320312
1653843418.763963,4130,-2.497852325439453
1653843448.7129102,4135,-2.496664524078369
1653843581.584825,4155,-2.496664524078369
1653844069.6231735,4230,-2.5210118293762207
1653844149.182082,4242,-2.5190043449401855
1653844394.3755481,4280,-2.452321767807007
1653845726.3934824,4485,-2.5322837829589844
1653845812.73515,4499,-2.4811367988586426
1653845975.5885332,4524,-2.4713082313537598
1653846138.0506492,4549,-2.4643266201019287
1653846273.9857664,4570,-2.5038702487945557
1653846539.1374786,4610,-2.5962142944335938
1653846698.3308873,4634,-2.6162142753601074
1653846830.9329596,4654,-2.569999933242798
1653848238.2291827,4870,-2.518988847732544
1653848374.1298687,4891,-2.518183469772339
1653848400.7247415,4895,-2.518183469772339
1653848894.5638878,4972,-2.3966078758239746
1653849239.371705,5024,-2.3611936569213867
1653849598.0805197,5080,-2.4506654739379883
1653850641.132661,5242,-2.4091808795928955
1653851016.060034,5299,-2.549016237258911
1653851095.5721216,5311,-2.525829792022705
1653851643.6239092,5396,-2.503535509109497
1653851808.2136576,5421,-2.4260306358337402
1653852025.6231494,5457,-2.2218127250671387
1653852620.434106,5548,-2.500988483428955
1653852700.030844,5560,-2.587831497192383
1653853012.646822,5610,-2.5650367736816406
1653853092.0475955,5622,-2.5553462505340576
1653853174.9990454,5635,-2.525406837463379
1653853201.4301767,5639,-2.5554068088531494
1653854522.972768,5845,-2.421396255493164
1653854689.2564201,5871,-2.4661924839019775
1653854715.937938,5875,-2.4661924839019775
1653855320.849322,5969,-2.5377612113952637
1653855639.0098317,6017,-2.518601179122925
1653855911.1650891,6059,-2.4788267612457275
1653856734.064438,6187,-2.419962167739868
1653857032.6471908,6233,-2.3906466960906982
1653857245.4027777,6265,-2.4390032291412354
1653857404.2988362,6289,-2.455981492996216
1653858275.1064615,6423,-2.4497601985931396
1653858381.4722047,6439,-2.5018458366394043
1653859058.2527883,6543,-2.4342918395996094
1653859496.0382538,6611,-2.442612409591675
1653859522.787456,6615,-2.4626123905181885
1653859937.4313374,6680,-2.503697395324707
1653860043.7003338,6696,-2.5404269695281982
1653860502.5796137,6766,-2.540756940841675
1653861438.1994798,6908,-2.476255416870117
1653861650.3385482,6940,-2.5062553882598877
1653862184.0979037,7021,-2.4598872661590576
1653862565.6452057,7080,-2.4671473503112793
1653862814.4393399,7119,-2.5440762042999268
1653862973.7617102,7143,-2.508051633834839
1653863030.3609624,7152,-2.479780912399292
1653863109.8052127,7164,-2.5097808837890625
1653863313.034794,7197,-2.4251937866210938
1653863566.366015,7237,-2.4215304851531982
1653863944.514912,7295,-2.4528138637542725
