Wall time,Step,Value
1652788727.9480894,34,-1.572755217552185
1652789150.55723,114,-1.6407729387283325
1652789342.545968,150,-1.9514635801315308
1652789826.185978,237,-2.163701057434082
1652789880.5944052,246,-2.16329288482666
1652789970.1751797,262,-2.1896886825561523
1652790034.2042563,274,-2.231593370437622
1652790210.355675,305,-2.1817803382873535
1652790290.3719835,318,-2.2752861976623535
1652790729.2009368,395,-2.233912706375122
1652790822.038176,412,-2.1907100677490234
1652790982.1011996,442,-2.0625839233398438
1652791219.0128195,484,-2.1113455295562744
1652791446.895477,527,-2.113879680633545
1652791687.3568845,570,-2.1938962936401367
1652791780.2637482,587,-2.215724468231201
1652791809.164483,592,-2.2009596824645996
1652792027.2390127,632,-2.2360758781433105
1652792447.5823414,711,-1.9768917560577393
1652792832.540982,779,-2.2110607624053955
1652793172.6309743,841,-2.2574563026428223
1652793323.2315633,868,-2.1745622158050537
1652793416.2686203,885,-2.1679978370666504
1652793685.3299727,933,-2.118328332901001
1652793717.3295283,939,-2.1378862857818604
1652794005.9324992,989,-2.199082851409912
1652794163.562881,1018,-2.2142691612243652
1652794231.4724312,1031,-2.2229859828948975
1652794266.8004353,1038,-2.184823989868164
1652794388.8876076,1060,-2.185913324356079
1652794694.346528,1123,-1.6246792078018188
1652794967.547585,1176,-1.6292881965637207
1652794999.7290235,1182,-1.6206015348434448
1652795173.0662322,1216,-1.6387720108032227
1652795552.7881567,1290,-1.717556357383728
1652795764.6566157,1332,-1.8159940242767334
1652795928.7733576,1363,-1.7815024852752686
1652796025.2252734,1381,-1.8186655044555664
1652796439.9289343,1462,-1.9753198623657227
1652796636.1066382,1499,-1.9527109861373901
1652796803.238271,1531,-1.8069305419921875
1652797042.0238023,1577,-1.8742233514785767
1652797202.7085466,1611,-1.4067277908325195
1652797270.1347766,1624,-1.4616172313690186
1652797940.9935868,1756,-1.4632954597473145
1652798111.1955218,1789,-1.7839354276657104
1652798136.8525028,1793,-1.8913413286209106
1652798323.4791465,1831,-1.6689047813415527
1652798538.808738,1878,-1.2199909687042236
1652798603.1082354,1890,-1.2809672355651855
1652798853.964165,1936,-1.6562482118606567
1652798883.0176213,1941,-1.6727677583694458
1652799117.7062213,1986,-2.025099039077759
1652799265.7709932,2016,-1.9851012229919434
1652799590.6142993,2081,-1.9101604223251343
1652799874.3612106,2137,-1.6880559921264648
1652800453.289689,2253,-1.5820423364639282
1652800584.977927,2278,-1.5759073495864868
1652800790.557927,2318,-1.5332214832305908
